name,business_type,address,city,region,phone,website,rating,reviews_count,latitude,longitude,data_source
Résultats,doctors,"
R4PP+GGQ, 55 Rue 7400, Tunis",Tunis,Tunisia,,https://www.google.com/maps/place/Centre+M%C3%A9dical+Dorra/data=!4m7!3m6!1s0x12fd331a0e29c32b:0xfc346d2508747fcc!8m2!3d36.8364964!4d10.1364881!16s%2Fg%2F11c2kkd8wz!19sChIJK8MpDhoz_RIRzH90CCVtNPw?authuser=0&hl=fr&rclk=1,,(9),,,Google Maps Direct
Résultats,doctors,"
26 rue allégeance à la patrie, Tunis 2042",Tunis,Tunisia,"
94 354 879",https://www.google.com/maps/place/Centre+M%C3%A9dical+Dorra/data=!4m7!3m6!1s0x12fd331a0e29c32b:0xfc346d2508747fcc!8m2!3d36.8364964!4d10.1364881!16s%2Fg%2F11c2kkd8wz!19sChIJK8MpDhoz_RIRzH90CCVtNPw?authuser=0&hl=fr&rclk=1,,(9),,,Google Maps Direct
Résultats,doctors,"
R4PM+2QV, Tunis",Tunis,Tunisia,,https://www.google.com/maps/place/Centre+M%C3%A9dical+Dorra/data=!4m7!3m6!1s0x12fd331a0e29c32b:0xfc346d2508747fcc!8m2!3d36.8364964!4d10.1364881!16s%2Fg%2F11c2kkd8wz!19sChIJK8MpDhoz_RIRzH90CCVtNPw?authuser=0&hl=fr&rclk=1,,(9),,,Google Maps Direct
Résultats,doctors,"
Campus Médical, 1 Rue de Tolède, Tunis 2092",Tunis,Tunisia,"
21 139 297",https://www.google.com/maps/place/Centre+M%C3%A9dical+Dorra/data=!4m7!3m6!1s0x12fd331a0e29c32b:0xfc346d2508747fcc!8m2!3d36.8364964!4d10.1364881!16s%2Fg%2F11c2kkd8wz!19sChIJK8MpDhoz_RIRzH90CCVtNPw?authuser=0&hl=fr&rclk=1,,(9),,,Google Maps Direct
Résultats,doctors,"
4 Ter rue Cheikh el، Rue Béji El Messaoudi, Tunis 2042",Tunis,Tunisia,"
31 533 031",https://www.google.com/maps/place/Centre+M%C3%A9dical+Dorra/data=!4m7!3m6!1s0x12fd331a0e29c32b:0xfc346d2508747fcc!8m2!3d36.8364964!4d10.1364881!16s%2Fg%2F11c2kkd8wz!19sChIJK8MpDhoz_RIRzH90CCVtNPw?authuser=0&hl=fr&rclk=1,,(9),,,Google Maps Direct
Résultats,doctors,"
R4HM+8MJ, Rue 6691, Tunis",Tunis,Tunisia,,https://www.google.com/maps/place/Centre+M%C3%A9dical+Dorra/data=!4m7!3m6!1s0x12fd331a0e29c32b:0xfc346d2508747fcc!8m2!3d36.8364964!4d10.1364881!16s%2Fg%2F11c2kkd8wz!19sChIJK8MpDhoz_RIRzH90CCVtNPw?authuser=0&hl=fr&rclk=1,,(9),,,Google Maps Direct
Résultats,doctors,"
2 ème étage App 2, bloc B, Immeuble Nour City, 4 Avenue Esghaier Ouled Ahmed, Centre Urbain Nord 1082",Tunis,Tunisia,"
98 706 675",https://www.google.com/maps/place/Centre+M%C3%A9dical+Dorra/data=!4m7!3m6!1s0x12fd331a0e29c32b:0xfc346d2508747fcc!8m2!3d36.8364964!4d10.1364881!16s%2Fg%2F11c2kkd8wz!19sChIJK8MpDhoz_RIRzH90CCVtNPw?authuser=0&hl=fr&rclk=1,,(9),,,Google Maps Direct
Résultats,doctors,"
Bloc A App, En face de la clinique EL MANAR, Résidence les jasmins, 10 Rue Habib Chatti, Tunis 2092",Tunis,Tunisia,"
22 132 395",https://www.google.com/maps/place/Centre+M%C3%A9dical+Dorra/data=!4m7!3m6!1s0x12fd331a0e29c32b:0xfc346d2508747fcc!8m2!3d36.8364964!4d10.1364881!16s%2Fg%2F11c2kkd8wz!19sChIJK8MpDhoz_RIRzH90CCVtNPw?authuser=0&hl=fr&rclk=1,,(9),,,Google Maps Direct
Résultats,doctors,"
Triangle Medical, 5 Av. Habib Bourguiba, 2000",Tunis,Tunisia,"
54 671 136",https://www.google.com/maps/place/Dr+Youssef+Chamakh/data=!4m7!3m6!1s0x12fd33dbd7167aad:0xcbf942753287932d!8m2!3d36.8325433!4d10.1239638!16s%2Fg%2F11xfb3g5xd!19sChIJrXoW19sz_RIRLZOHMnVC-cs?authuser=0&hl=fr&rclk=1,,(2),,,Google Maps Direct
Résultats,doctors,"
R4FQ+MVQ, Tunis",Tunis,Tunisia,"
98 344 733",https://www.google.com/maps/place/Dr+Youssef+Chamakh/data=!4m7!3m6!1s0x12fd33dbd7167aad:0xcbf942753287932d!8m2!3d36.8325433!4d10.1239638!16s%2Fg%2F11xfb3g5xd!19sChIJrXoW19sz_RIRLZOHMnVC-cs?authuser=0&hl=fr&rclk=1,,(2),,,Google Maps Direct
